epoch,sL
0.0000e+00,4.0000e-01
1.0000e+02,3.5344e-01
2.0000e+02,2.9521e-01
3.0000e+02,2.8615e-01
4.0000e+02,2.9237e-01
5.0000e+02,2.9277e-01
6.0000e+02,2.9312e-01
7.0000e+02,2.9343e-01
8.0000e+02,2.9372e-01
9.0000e+02,2.9402e-01
1.0000e+03,2.9414e-01
1.1000e+03,2.9442e-01
1.2000e+03,2.9460e-01
1.3000e+03,2.9485e-01
1.4000e+03,2.9487e-01
1.5000e+03,2.9469e-01
1.6000e+03,2.9503e-01
1.7000e+03,2.9504e-01
1.8000e+03,2.9466e-01
1.9000e+03,2.9473e-01
2.0000e+03,2.9493e-01
2.1000e+03,2.9460e-01
2.2000e+03,2.9474e-01
2.3000e+03,2.9461e-01
2.4000e+03,2.9452e-01
2.5000e+03,2.9435e-01
2.6000e+03,2.9370e-01
2.7000e+03,2.9382e-01
2.8000e+03,2.9372e-01
2.9000e+03,2.9384e-01
3.0000e+03,2.9380e-01
3.1000e+03,2.9376e-01
3.2000e+03,2.9380e-01
3.3000e+03,2.9342e-01
3.4000e+03,2.9303e-01
3.5000e+03,2.9322e-01
3.6000e+03,2.9371e-01
3.7000e+03,2.9330e-01
3.8000e+03,2.9339e-01
3.9000e+03,2.9332e-01
4.0000e+03,2.9324e-01
4.1000e+03,2.9289e-01
4.2000e+03,2.9335e-01
4.3000e+03,2.9314e-01
4.4000e+03,2.9325e-01
4.5000e+03,2.9330e-01
4.6000e+03,2.9325e-01
4.7000e+03,2.9343e-01
4.8000e+03,2.9317e-01
4.9000e+03,2.9367e-01
5.0000e+03,2.9340e-01
5.1000e+03,2.9325e-01
5.2000e+03,2.9350e-01
5.3000e+03,2.9326e-01
5.4000e+03,2.9354e-01
5.5000e+03,2.9309e-01
5.6000e+03,2.9334e-01
5.7000e+03,2.9315e-01
5.8000e+03,2.9366e-01
5.9000e+03,2.9308e-01
6.0000e+03,2.9333e-01
6.1000e+03,2.9343e-01
6.2000e+03,2.9351e-01
6.3000e+03,2.9358e-01
6.4000e+03,2.9327e-01
6.5000e+03,2.9332e-01
6.6000e+03,2.9339e-01
6.7000e+03,2.9318e-01
6.8000e+03,2.9315e-01
6.9000e+03,2.9313e-01
7.0000e+03,2.9326e-01
7.1000e+03,2.9339e-01
7.2000e+03,2.9344e-01
7.3000e+03,2.9321e-01
7.4000e+03,2.9315e-01
7.5000e+03,2.9324e-01
7.6000e+03,2.9312e-01
7.7000e+03,2.9332e-01
7.8000e+03,2.9333e-01
7.9000e+03,2.9309e-01
8.0000e+03,2.9316e-01
8.1000e+03,2.9313e-01
8.2000e+03,2.9340e-01
8.3000e+03,2.9311e-01
8.4000e+03,2.9319e-01
8.5000e+03,2.9319e-01
8.6000e+03,2.9320e-01
8.7000e+03,2.9321e-01
8.8000e+03,2.9311e-01
